timestamp,open,high,low,close
2021-04-01 14:35:00,9.6002,9.6191,9.5737,9.5962
2021-04-01 14:30:00,9.6127,9.6246,9.5863,9.6109
2021-04-01 14:25:00,9.6286,9.6319,9.6000,9.6127
2021-04-01 14:20:00,9.6031,9.6364,9.5859,9.6296
2021-04-01 14:15:00,9.5996,9.6064,9.5735,9.6030
2021-04-01 14:10:00,9.5950,9.6059,9.5712,9.5997
2021-04-01 14:05:00,9.5972,9.6037,9.5732,9.5954
2021-04-01 14:00:00,9.6026,9.6113,9.5727,9.5975
2021-04-01 13:55:00,9.6049,9.6133,9.5796,9.6046
2021-04-01 13:50:00,9.5987,9.6120,9.5791,9.6055
2021-04-01 13:45:00,9.6030,9.6085,9.5819,9.5987
2021-04-01 13:40:00,9.5926,9.6053,9.5707,9.6030
2021-04-01 13:35:00,9.5902,9.5978,9.5666,9.5924
2021-04-01 13:30:00,9.5883,9.5948,9.5665,9.5901
2021-04-01 13:25:00,9.5741,9.5907,9.5599,9.5884
2021-04-01 13:20:00,9.5896,9.5899,9.5628,9.5822
2021-04-01 13:15:00,9.5823,9.5951,9.5585,9.5877
2021-04-01 13:10:00,9.5797,9.5911,9.5516,9.5840
2021-04-01 13:05:00,9.5675,9.5860,9.5453,9.5797
2021-04-01 13:00:00,9.5660,9.5730,9.5426,9.5663
2021-04-01 12:55:00,9.5778,9.5859,9.5513,9.5660
2021-04-01 12:50:00,9.5817,9.5943,9.5570,9.5820
2021-04-01 12:45:00,9.5841,9.5918,9.5553,9.5801
2021-04-01 12:40:00,9.6043,9.6087,9.5677,9.5841
2021-04-01 12:35:00,9.6067,9.6132,9.5825,9.6077
2021-04-01 12:30:00,9.6137,9.6187,9.5870,9.6067
2021-04-01 12:25:00,9.6138,9.6176,9.5871,9.6150
2021-04-01 12:20:00,9.6111,9.6155,9.5893,9.6123
2021-04-01 12:15:00,9.6080,9.6174,9.5902,9.6117
2021-04-01 12:10:00,9.6033,9.6162,9.5811,9.6132
2021-04-01 12:05:00,9.6092,9.6111,9.5862,9.6003
2021-04-01 12:00:00,9.5964,9.6114,9.5805,9.6089
2021-04-01 11:55:00,9.5968,9.6049,9.5679,9.5963
2021-04-01 11:50:00,9.6003,9.6088,9.5751,9.6047
2021-04-01 11:45:00,9.6116,9.6158,9.5864,9.5917
2021-04-01 11:40:00,9.6180,9.6226,9.5940,9.6075
2021-04-01 11:35:00,9.6261,9.6321,9.5808,9.6175
2021-04-01 11:30:00,9.6295,9.6347,9.6032,9.6309
2021-04-01 11:25:00,9.6203,9.6354,9.5967,9.6295
2021-04-01 11:20:00,9.6045,9.6208,9.5818,9.6203
2021-04-01 11:15:00,9.6156,9.6226,9.5795,9.6044
2021-04-01 11:10:00,9.6069,9.6221,9.5894,9.6178
2021-04-01 11:05:00,9.6132,9.6194,9.5887,9.6154
2021-04-01 11:00:00,9.6120,9.6204,9.5873,9.6136
2021-04-01 10:55:00,9.6162,9.6244,9.5976,9.6120
2021-04-01 10:50:00,9.6146,9.6254,9.5998,9.6166
2021-04-01 10:45:00,9.6199,9.6270,9.5959,9.6146
2021-04-01 10:40:00,9.6310,9.6398,9.6101,9.6247
2021-04-01 10:35:00,9.6131,9.6374,9.5939,9.6373
2021-04-01 10:30:00,9.6388,9.6484,9.6059,9.6130
2021-04-01 10:25:00,9.6460,9.6549,9.6230,9.6418
2021-04-01 10:20:00,9.6420,9.6638,9.6209,9.6470
2021-04-01 10:15:00,9.6219,9.6501,9.6058,9.6421
2021-04-01 10:10:00,9.6282,9.6360,9.6000,9.6352
2021-04-01 10:05:00,9.6292,9.6343,9.6048,9.6283
2021-04-01 10:00:00,9.6297,9.6337,9.5966,9.6289
2021-04-01 09:55:00,9.6242,9.6358,9.6031,9.6310
2021-04-01 09:50:00,9.6211,9.6372,9.6017,9.6294
2021-04-01 09:45:00,9.6176,9.6368,9.5964,9.6210
2021-04-01 09:40:00,9.6283,9.6337,9.5938,9.6177
2021-04-01 09:35:00,9.6115,9.6365,9.5939,9.6210
2021-04-01 09:30:00,9.6052,9.6159,9.5799,9.6115
2021-04-01 09:25:00,9.6019,9.6090,9.5762,9.6042
2021-04-01 09:20:00,9.6026,9.6122,9.5787,9.6018
2021-04-01 09:15:00,9.6090,9.6209,9.5869,9.6016
2021-04-01 09:10:00,9.5954,9.6183,9.5765,9.6090
2021-04-01 09:05:00,9.6033,9.6248,9.5848,9.5945
2021-04-01 09:00:00,9.5907,9.6122,9.5726,9.6032
2021-04-01 08:55:00,9.5818,9.5994,9.5642,9.5908
2021-04-01 08:50:00,9.5818,9.5987,9.5708,9.5886
2021-04-01 08:45:00,9.5888,9.5992,9.5681,9.5877
2021-04-01 08:40:00,9.5981,9.6022,9.5684,9.5879
2021-04-01 08:35:00,9.5918,9.6008,9.5704,9.5841
2021-04-01 08:30:00,9.5865,9.6052,9.5692,9.5866
2021-04-01 08:25:00,9.6049,9.6137,9.5766,9.5875
2021-04-01 08:20:00,9.5864,9.6207,9.5662,9.5957
2021-04-01 08:15:00,9.5873,9.5981,9.5656,9.5854
2021-04-01 08:10:00,9.5685,9.5999,9.5519,9.5895
2021-04-01 08:05:00,9.5934,9.6056,9.5524,9.5653
2021-04-01 08:00:00,9.5965,9.6084,9.5761,9.5868
2021-04-01 07:55:00,9.5994,9.6052,9.5720,9.5807
2021-04-01 07:50:00,9.6181,9.6233,9.5695,9.6054
2021-04-01 07:45:00,9.6284,9.6348,9.6065,9.6121
2021-04-01 07:40:00,9.6278,9.6423,9.6077,9.6281
2021-04-01 07:35:00,9.6385,9.6481,9.6154,9.6220
2021-04-01 07:30:00,9.6175,9.6480,9.5928,9.6386
2021-04-01 07:25:00,9.6652,9.6739,9.5921,9.6173
2021-04-01 07:20:00,9.6739,9.6793,9.6475,9.6652
2021-04-01 07:15:00,9.6608,9.6948,9.6401,9.6739
2021-04-01 07:10:00,9.6628,9.6745,9.6317,9.6594
2021-04-01 07:05:00,9.6877,9.6987,9.6453,9.6669
2021-04-01 07:00:00,9.6950,9.7177,9.6757,9.6934
2021-04-01 06:55:00,9.6994,9.7181,9.6762,9.7040
2021-04-01 06:50:00,9.7018,9.7090,9.6676,9.6896
2021-04-01 06:45:00,9.7066,9.7134,9.6834,9.7019
2021-04-01 06:40:00,9.6956,9.7188,9.6854,9.7066
2021-04-01 06:35:00,9.7196,9.7265,9.6849,9.7069
2021-04-01 06:30:00,9.6972,9.7304,9.6752,9.7196
2021-04-01 06:25:00,9.7062,9.7117,9.6795,9.6972
2021-04-01 06:20:00,9.7107,9.7190,9.6870,9.7039
2021-04-01 06:15:00,9.7164,9.7248,9.6892,9.7107
2021-04-01 06:10:00,9.7191,9.7312,9.6796,9.7165
2021-04-01 06:05:00,9.7262,9.7304,9.7038,9.7219
2021-04-01 06:00:00,9.7208,9.7311,9.6953,9.7262
2021-04-01 05:55:00,9.7301,9.7418,9.7034,9.7209
2021-04-01 05:50:00,9.7307,9.7423,9.6927,9.7336
2021-04-01 05:45:00,9.7243,9.7410,9.6957,9.7307
2021-04-01 05:40:00,9.7214,9.7290,9.6905,9.7193
2021-04-01 05:35:00,9.7129,9.7292,9.6913,9.7214
2021-04-01 05:30:00,9.7176,9.7298,9.6949,9.7127
2021-04-01 05:25:00,9.7078,9.7300,9.6895,9.7176
2021-04-01 05:20:00,9.7157,9.7288,9.6870,9.7078
2021-04-01 05:15:00,9.7162,9.7282,9.6921,9.7157
2021-04-01 05:10:00,9.7164,9.7278,9.6877,9.7276
2021-04-01 05:05:00,9.7143,9.7275,9.6930,9.7275
2021-04-01 05:00:00,9.6981,9.7253,9.6702,9.7143
2021-04-01 04:55:00,9.7000,9.7048,9.6664,9.6981
2021-04-01 04:50:00,9.7020,9.7074,9.6705,9.6999
2021-04-01 04:45:00,9.7036,9.7080,9.6739,9.7014
2021-04-01 04:40:00,9.7033,9.7085,9.6734,9.6903
2021-04-01 04:35:00,9.7037,9.7087,9.6733,9.6896
2021-04-01 04:30:00,9.7036,9.7091,9.6724,9.7037
2021-04-01 04:25:00,9.7081,9.7093,9.6744,9.7036
2021-04-01 04:20:00,9.7049,9.7095,9.6732,9.6921
2021-04-01 04:15:00,9.7055,9.7104,9.6765,9.7049
2021-04-01 04:10:00,9.6937,9.7108,9.6737,9.7055
2021-04-01 04:05:00,9.7043,9.7104,9.6750,9.6937
2021-04-01 04:00:00,9.6937,9.7105,9.6739,9.7043
2021-04-01 03:55:00,9.6930,9.7112,9.6744,9.6937
2021-04-01 03:50:00,9.7039,9.7114,9.6720,9.6930
2021-04-01 03:45:00,9.6917,9.7098,9.6739,9.7040
2021-04-01 03:40:00,9.7097,9.7102,9.6744,9.7048
2021-04-01 03:35:00,9.6983,9.7104,9.6683,9.7044
2021-04-01 03:30:00,9.6990,9.7079,9.6634,9.6991
2021-04-01 03:25:00,9.6790,9.7076,9.6578,9.6990
2021-04-01 03:20:00,9.6987,9.7079,9.6578,9.6790
2021-04-01 03:15:00,9.6808,9.7089,9.6616,9.6988
2021-04-01 03:10:00,9.6980,9.7079,9.6678,9.6992
2021-04-01 03:05:00,9.6967,9.7067,9.6578,9.6791
2021-04-01 03:00:00,9.6768,9.7056,9.6578,9.6967
2021-04-01 02:55:00,9.6965,9.7055,9.6578,9.6760
2021-04-01 02:50:00,9.6956,9.7054,9.6578,9.7054
2021-04-01 02:45:00,9.6951,9.7046,9.6578,9.6955
2021-04-01 02:40:00,9.6956,9.7052,9.6657,9.6951
2021-04-01 02:35:00,9.6949,9.7048,9.6599,9.6956
2021-04-01 02:30:00,9.6969,9.7065,9.6611,9.6949
2021-04-01 02:25:00,9.6946,9.7074,9.6595,9.6969
2021-04-01 02:20:00,9.7010,9.7104,9.6696,9.6977
2021-04-01 02:15:00,9.7005,9.7104,9.6713,9.7010
2021-04-01 02:10:00,9.7023,9.7118,9.6659,9.7005
2021-04-01 02:05:00,9.7009,9.7128,9.6664,9.6991
2021-04-01 02:00:00,9.6997,9.7108,9.6630,9.7104
2021-04-01 01:55:00,9.7005,9.7098,9.6675,9.7092
2021-04-01 01:50:00,9.7019,9.7109,9.6670,9.6968
2021-04-01 01:45:00,9.7017,9.7119,9.6671,9.6975
2021-04-01 01:40:00,9.7012,9.7112,9.6625,9.7018
2021-04-01 01:35:00,9.7005,9.7107,9.6621,9.6993
2021-04-01 01:30:00,9.7021,9.7120,9.6700,9.7017
2021-04-01 01:25:00,9.7003,9.7115,9.6620,9.6792
2021-04-01 01:20:00,9.6982,9.7102,9.6664,9.6987
2021-04-01 01:15:00,9.6977,9.7096,9.6665,9.6769
2021-04-01 01:10:00,9.7105,9.7108,9.6642,9.6765
2021-04-01 01:05:00,9.7003,9.7114,9.6706,9.6736
2021-04-01 01:00:00,9.7004,9.7105,9.6642,9.7001
2021-04-01 00:55:00,9.6954,9.7120,9.6625,9.6732
2021-04-01 00:50:00,9.6980,9.7079,9.6633,9.6729
2021-04-01 00:45:00,9.6990,9.7093,9.6631,9.6962
2021-04-01 00:40:00,9.6959,9.7099,9.6587,9.7089
2021-04-01 00:35:00,9.6952,9.7078,9.6587,9.6693
2021-04-01 00:30:00,9.6956,9.7060,9.6688,9.6930
2021-04-01 00:25:00,9.6982,9.7076,9.6663,9.7050
2021-04-01 00:20:00,9.6967,9.7079,9.6632,9.6959
2021-04-01 00:15:00,9.6947,9.7066,9.6616,9.6946
2021-04-01 00:10:00,9.6892,9.7069,9.6621,9.6927
2021-04-01 00:05:00,9.6961,9.7091,9.6632,9.6892
2021-04-01 00:00:00,9.6698,9.7082,9.6632,9.6961
2021-03-31 23:55:00,9.7077,9.7082,9.6622,9.6692
2021-03-31 23:50:00,9.6701,9.7082,9.6619,9.6957
2021-03-31 23:45:00,9.6966,9.7082,9.6654,9.6691
2021-03-31 23:40:00,9.6982,9.7081,9.6623,9.6687
2021-03-31 23:35:00,9.6982,9.7076,9.6621,9.6710
2021-03-31 23:30:00,9.6982,9.7082,9.6624,9.6949
2021-03-31 23:25:00,9.6696,9.7076,9.6632,9.6720
2021-03-31 23:20:00,9.6977,9.7078,9.6632,9.6696
2021-03-31 23:15:00,9.6963,9.7070,9.6624,9.6725
2021-03-31 23:10:00,9.6957,9.7058,9.6643,9.7055
2021-03-31 23:05:00,9.6969,9.7069,9.6632,9.6956
2021-03-31 23:00:00,9.6703,9.7082,9.6579,9.7068
2021-03-31 22:55:00,9.6703,9.7087,9.6579,9.6703
2021-03-31 22:50:00,9.6703,9.7094,9.6633,9.6703
2021-03-31 22:45:00,9.6659,9.7090,9.6579,9.7089
2021-03-31 22:40:00,9.6659,9.7080,9.6623,9.7080
2021-03-31 22:35:00,9.6861,9.7079,9.6626,9.6659
2021-03-31 22:30:00,9.6619,9.7075,9.6578,9.6861
2021-03-31 22:25:00,9.6659,9.7069,9.6579,9.6849
2021-03-31 22:20:00,9.6658,9.7057,9.6578,9.7057
2021-03-31 22:15:00,9.7050,9.7057,9.6609,9.6658
2021-03-31 22:10:00,9.6637,9.7076,9.6613,9.6936
2021-03-31 22:05:00,9.6914,9.7086,9.6628,9.6637
2021-03-31 22:00:00,9.6601,9.7094,9.6572,9.6634
2021-03-31 21:55:00,9.6599,9.7088,9.6478,9.6601
2021-03-31 21:50:00,9.6905,9.7089,9.6492,9.6599
2021-03-31 21:45:00,9.6619,9.7087,9.6427,9.7085
2021-03-31 21:40:00,9.6910,9.7089,9.6399,9.7084
